name,hard_coded_name,normed_name,oid,name_1,oid_1,name_2,oid_2,name_3,oid_3,name_4,oid_4,name_5,oid_5,name_6,oid_6,name_7,oid_7,name_8,oid_8,name_9,oid_9,name_10,oid_10,name_11,oid_11,name_12,oid_12,name_13,oid_13,name_14,oid_14,name_15,oid_15,name_16,oid_16,name_17,oid_17,name_18,oid_18,name_19,oid_19,name_20,oid_20,name_21,oid_21,name_22,oid_22,name_23,oid_23,name_24,oid_24,name_25,oid_25,name_26,oid_26,name_27,oid_27
AdvoKids,,advokids,27859,Advokids.,97646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aecom,,aecom,3646,Aecom,112063,Aecom Inc.,117044.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeg,,aeg,2797,Aeg,112964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aegis Medical Systems, Inc.",,aegis medical systems,1190,Aegis Medical Systems Inc,113895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aemetis, Inc.",,aemetis,17745,Aemetis,29823,Aemetis Inc,110974.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aera Energy LLC,,aera energy,3311,Aera Energy LLC,109726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aes Delano, Inc.",,aes delano,1385,Aes Delano Inc,113817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aes Pacific,,aes pacific,944,Aes Pacific,108859,Aes Pacific Inc,112349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aetna, Inc.",,aetna,730,Aetna,116875,Aetna Inc,108895.0,Aetna Inc,114058.0,Aetna Inc,114456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aetos Capital Real Estate, LP",,aetos capital real estate,4814,Aetos Capital Real Estate LP,108058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aew Capital Management, L.P.",,aew capital management,4030,Aew Capital Management LP,107798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affiliated Computer Services,,affiliated computer services,965,Affiliated Computer Services Inc,112948,"Affiliated Computer Services, Inc.",119370.0,Affiliated Computer Services,113980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affinity Equity Partners Limited,,affinity equity partners,4479,Affinity Equity Partners Limited,111143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Affinity Group, Inc.",,affinity group,572,Affinity Group Inc,114118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affordable Homeless Housing Alternatives,,affordable homeless housing alternatives,94266,"Affordable Homeless Housing Alternatives, Inc.",102280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affordable Housing Collaborative,,affordable housing collaborative,3268,Affordable Housing Collaborative,111701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affordable Reliable Electricity Alliance,,affordable reliable electricity alliance,115858,"Affordable Reliable Electricity Alliance, Inc.",119135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aflac,,aflac,1444,Aflac,108617,Aflac,112058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afton Chemical Corporation,,afton chemical corporation,2934,Afton Chemical Corporation,109970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agencies for Children's Therapy Services,,agencies for childrens therapy services,28279,Agencies For Childrens Therapy Services,115884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agendia, Inc.",,agendia,4817,Agendia Inc,109835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agilent Technologies, Inc.",,agilent technologies,1420,Agilent Technologies Inc,113330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agility Fuel Systems,,agility fuel systems,99615,"Agility Fuel Systems, Inc.",103186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agoura Hills, City Of",,city of agoura hills,3328,City of Agoura Hills,97639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural Council Of California,,agricultural council of california,529,Agricultural Council Of California,107469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural Energy Consumers Association,,agricultural energy consumers association,1081,Agricultural Energy Consumers Association,109320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
