name,hard_coded_name,normed_name,oid,name_1,oid_1,name_2,oid_2,name_3,oid_3,name_4,oid_4,name_5,oid_5,name_6,oid_6,name_7,oid_7,name_8,oid_8,name_9,oid_9,name_10,oid_10,name_11,oid_11,name_12,oid_12,name_13,oid_13,name_14,oid_14,name_15,oid_15,name_16,oid_16,name_17,oid_17,name_18,oid_18,name_19,oid_19,name_20,oid_20,name_21,oid_21,name_22,oid_22,name_23,oid_23,name_24,oid_24,name_25,oid_25,name_26,oid_26,name_27,oid_27
Lb Furniture Industries LLC,,lb furniture industries,119581,"Lb Furniture Industries, LLC",123494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lba Realty LLC,,lba realty,5019,Lba Realty LLC,108109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leader House Associates, LP",,leader house associates,115525,Leader House Associates L.p.,115900,"Leader House Associates, L.p.",121549.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leading Edge Investment Advisors,,leading edge investment advisors,4524,Leading Edge Investment Advisors LLC,108118,Leading Edge Investment Advisors,107972.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeadingAge California,,leadingage california,5221,Leadingage California,108181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
League Of California Cities,,league of california cities,1817,League Of California Cities,107570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
League Of California Community Foundations,,league of california community foundations,4913,League Of California Community Foundations,109131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
League Of Humane Voters,,league of humane voters,58445,The League of Humane Voters,100060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
League Of Women Voters Of California,,league of women voters of california,548,League of Women Voters' of California,105727,The League of Women Voters of California,100380.0,League Of Women Voters Of California,107471.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
League To Save Lake Tahoe,,league to save lake tahoe,3180,League To Save Lake Tahoe,109173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lean Energy Us,,lean energy us,4435,Lean Energy Us,110611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learn It Online,,learn it online,18215,Learn It Online,110632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learn It Systems,,learn it systems,3761,Learn It Systems,111873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning Ally,,learning ally,105293,"Learning Ally, Inc.",121088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning.Com,,learningcom,5584,LearningCom,108999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lechase Construction Services,,lechase construction services,115315,"Lechase Construction Services, LLC",120979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Carr,,lee carr,4885,Lee Carr,110602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lee Group, Inc., The",,lee group,2615,Lee Group Inc The,113101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legal Aid Association Of California,,legal aid association of california,3445,Legal Aid Association Of California,110910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legal Aid Society of San Diego,,legal aid society of san diego,46788,"Legal Aid Society of San Diego, Inc.",103539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legal Aid Society-Employment Law Center,,legal aid society-employment law center,93178,The Legal Aid Society-Employment Law Center,106882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legal Assistance Group,,legal assistance group,114718,"Legal Assistance Group, Inc.",116343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Legal Compliance Training  Company, LLC",,legal compliance training company,2122,Legal Compliance Training  Company LLC,113536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Legal Services For Nyc, Inc.",,legal services for nyc,118698,Legal Services For Nyc,120398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legal Services for Prisoners with Children,,legal services for prisoners with children,5250,Legal Services for Prisoners with   Children,103359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legalmatch.Com,,legalmatchcom,2880,LegalmatchCom,112911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lehigh Hanson, Inc.",,lehigh hanson,3263,Lehigh Hanson,97389,Lehigh Hanson Inc,111176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lehigh Southwest Cement Company,,lehigh southwest cement company,627,Lehigh Southwest Cement Company,110312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lehman Brothers Inc.,,lehman brothers,120604,Lehman Brothers,122872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lembi Group,,lembi group,2829,Lembi Group,112943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenah Consultancy,,lenah consultancy,3444,Lenah Consultancy,112210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lend Lease Development,,lend lease development,448,Lend Lease Development,114158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lennar Communities,,lennar communities,344,Lennar Communities ,113965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lennox Elementary School District,,lennox elementary school district,792,Lennox Elementary School District,108809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lennox International Inc.,,lennox international,15,Lennox International Inc,108384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenscrafters, Inc.",,lenscrafters,1614,Lenscrafters Inc,113085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leong-Kuba Sea Products, Inc.",,leong-kuba sea products,102571,"Leong-Kuba Sea Products, Inc",106711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les Schwab Comapny,,les schwab comapny,3479,Les Schwab Comapny,112156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Les Schwab Warehouse Center, Inc.",,les schwab warehouse center,16739,Les Schwab Warehouse Center Inc,110927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leslie Rudd Investment Company,,leslie rudd investment company,2730,Leslie Rudd Investment Company,113014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leukemia & Lymphoma Society, The",,leukemia & lymphoma society,4547,Leukemia & Lymphoma Society,94938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leukemia and Lymphoma Society,,leukemia and lymphoma society,6983,The Leukemia and Lymphoma Society,104191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leukemia Lymphoma Society,,leukemia lymphoma society,95699,Leukemia  Lymphoma Society The,109851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Level 3 Communications, Inc.",,level 3 communications,1928,Level 3 Communications Inc,113617,Level 3 Communications,118314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levine Leichtman Capital Partners, Inc.",,levine leichtman capital partners,3947,Levine Leichtman Capital Partners Inc,107784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lexicon Marketing,,lexicon marketing,2613,Lexicon Marketing,113104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lexmark International, Inc.",,lexmark international,365,Lexmark International  Inc,113222,Lexmark International Inc,112700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lhv Power, Inc.",,lhv power,3573,Lhv Power Inc,112110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LI Identity Solutions,,li identity solutions,112209,LI Identity Solutions,112701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Communications Inc.,,liberty communications,117020,Liberty Communications INC,123101,"Liberty Communications, Inc.",123256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liberty Dental Plan East, LLC",,liberty dental plan east,119381,Liberty Dental Plan East,122120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liberty Dental Plan Of California, Inc.",,liberty dental plan of california,3812,Liberty Dental Plan Of California Inc,109388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Healthcare Corporation,,liberty healthcare corporation,2790,Liberty Healthcare Corporation,110307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Hill Foundation,,liberty hill foundation,27696,The Liberty Hill Foundation,95640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Mutual Group,,liberty mutual group,57,Liberty Mutual Group,114300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Mutual Group And Affiliated Entities,,liberty mutual group and affiliated entities,16605,Liberty Mutual Group And Affiliated Entities,109589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Mutual Insurance Co.,,liberty mutual insurance,47033,Liberty Mutual Insurance,98196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Mutual Insurance Group,,liberty mutual insurance group,12994,Liberty Mutual Insurance Group,107612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Mutual Insurance Group And Affiliated Entities,,liberty mutual insurance group and affiliated entities,15226,Liberty Mutual Insurance Group And Affiliated Entities,112710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liberty Natural Gas, LLC",,liberty natural gas,117291,Liberty Natural Gas,120658,Liberty Natural Gas LLC,120133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Tire Recycling,,liberty tire recycling,5510,Liberty Tire Recycling,109174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Library Systems And Services, LLC",,library systems and services,17933,Library Systems And Services LLC,110812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Libreria Del Pueblo, Inc.",,libreria del pueblo,95152,Libreria del Pueblo,103485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
License Instruction Schools,,license instruction schools,829,License Instruction Schools,114024,License Instruction Schools Inc,111818.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liebherr Cranes Inc.,,liebherr cranes,3581,Liebherr Cranes Inc,111724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Chiropractic College West,,life chiropractic college west,3207,Life Chiropractic College West,110117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Insurance Settlement Association,,life insurance settlement association,14512,Life Insurance Settlement Association,111578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Life Settlement Institute, The",,life settlement institute,1516,Life Settlement Institute The,113767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Technologies Corporation,,life technologies corporation,15128,Life Technologies Corporation,110996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lifelock, Inc.",,lifelock,19136,Lifelock Inc,109186,"Lifelock, INC",118792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lifelong Medical Care,,lifelong medical care,4379,Lifelong Medical Care,109213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lifemap Assurance Company,,lifemap assurance company,5512,Lifemap Assurance Company,109172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lifemasters Supported Selfcare, Inc.",,lifemasters supported selfcare,1189,Lifemasters Supported Selfcare Inc,113896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LifeMed Id,,lifemed id,4806,Lifemed Id,110654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lifesafer Interlock, Inc.",,lifesafer interlock,2103,Lifesafer Interlock Inc,112611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Light Tower Fiber Long Island, LLC",,light tower fiber long island,116806,Light Tower Fiber Long Island LLC,120175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lighthouse Community Charter School,,lighthouse community charter school,2886,Lighthouse Community Charter School,112905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lighthouse Investment Partners LLC,,lighthouse investment partners,5098,Lighthouse Investment Partners LLC,108168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lightstone Group, LLC",,lightstone group,115237,Lightstone Group,116794,Lightstone Group LLC,121473.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilly Usa,,lilly usa,15764,Lilly Usa LLC,119983,"Lilly USA, LLC",98825.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lincare Holdings, Inc.",,lincare holdings,2801,Lincare Holdings Inc,112962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linde Ag,,linde ag,4260,Linde Ag,111367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Linde North America, Inc.",,linde north america,4460,Linde North America,104105,Linde North America Inc,111187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsay Unified School District,,lindsay unified school district,3056,Lindsay Unified School District,112792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linebarger Goggan Blair  Sampson LLP,,linebarger goggan blair sampson,111886,Linebarger Goggan Blair  Sampson LLP,112705,Linebarger Goggan Blair  Sampson LLP,113553.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linebarger Goggan Blair & Sampson LLP,,linebarger goggan blair & sampson,2094,"Linebarger Goggan Blair & Sampson, LLP",119972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Links, Inc.",,links,51852,"Links, The",123223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linq3,,linq3,4857,Linq3,110617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lion Capital LLP,,lion capital,3998,Lion Capital LLP,107789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquid Environmental Solutions,,liquid environmental solutions,1391,Liquid Environmental Solutions,113812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Listo,,listo,9869,Listo Inc,109067,Listo Inc.,102989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Literacy Inc.,,literacy,115271,"Literacy, Inc.",119057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Litespeed Management LLC,,litespeed management,5026,Litespeed Management LLC,108113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Litigation Services, LLC",,litigation services,26763,Litigation Services LLC,108803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Hoover Commission,,little hoover commission,10381,The Little Hoover Commission,94940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Littlejohn Management Holdings, Llc.",,littlejohn management holdings,5012,Littlejohn Management Holdings Llc,108106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Live Nation Entertainment, Inc.",,live nation entertainment,4636,Live Nation Entertainment Inc,109887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live Nation Worldwide  Inc.,,live nation worldwide,15744,Live Nation Worldwide  Inc,112275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Livermore Area Recreation And Park District,,livermore area recreation and park district,2881,Livermore Area Recreation And Park District,112876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Livermore Valley Performing Arts Center,,livermore valley performing arts center,4285,Livermore Valley Performing Arts Center,111354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Living Well Pharmacy Inc.,,living well pharmacy,3758,Living Well Pharmacy Inc,111981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Livingston Exotics LLC,,livingston exotics,95804,Livingston Exotics,103635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Livingston's Concrete Service, Inc.",,livingstons concrete service,94719,Livingston's Concrete Service Inc.,103737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lkq Corporation,,lkq corporation,3515,Lkq Corporation,110644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LLP Production Services, Inc.",,llp production services,29567,LLP Production Services Inc,108767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loafer Creek LLC,,loafer creek,2787,Loafer Creek LLC,112971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Health Plans Of California,,local health plans of california,1021,Local Health Plans Of California,108039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Initiative Support Corporation,,local initiative support corporation,182,Local Initiative Support Corporation,114264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lockheed Martin Corporation,,lockheed martin corporation,1259,Lockheed Martin Corporation,109935,Lockheed Martin Corporation,112330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lockheed Martin Space Systems Company,,lockheed martin space systems company,2817,Lockheed Martin Space Systems Company,112716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lodi Gas Storage, LLC",,lodi gas storage,15123,Lodi Gas Storage,106005,Lodi Gas Storage LLC,108770.0,Lodi Gas Storage LLC,112758.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lodi Unified School District,,lodi unified school district,663,Lodi Unified School District,113910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log Cabin Republicans,,log cabin republicans,2540,Log Cabin Republicans,107640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Logisticare Solutions, LLC",,logisticare solutions,4056,Logisticare Solutions LLC,110306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logret Import And Export Company Inc.,,logret import and export company,2795,Logret Import And Export Company Inc,110908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loma Linda University Medical Center,,loma linda university medical center,1260,Loma Linda University Medical Center,110723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lombardia Capital Partners, LLC",,lombardia capital partners,4805,Lombardia Capital Partners LLC,108055,Lombardia Capital Partners Inc,108217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Londen Insurance Group,,londen insurance group,2649,Londen Insurance Group,113070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lone Star Partners Vii, L.P.",,lone star partners vii,4449,Lone Star Partners Vii LP,111237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lone Star Partners Viii, L.P.",,lone star partners viii,4432,Lone Star Partners Viii LP,111262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lone Star Real Estate Partners Ii, L.P.",,lone star real estate partners ii,4448,Lone Star Real Estate Partners Ii LP,111238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Beach Community College Distict,,long beach community college distict,3225,Long Beach Community College Distict,108428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Beach Police Officers Association,,long beach police officers association,3716,Long Beach Police Officers Association,110518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Beach Unified School District,,long beach unified school district,460,Long Beach Unified School District,110715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Beach Water Department,,long beach water department,483,Long Beach Water Department,110210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Beachcity Of,,long beachcity of,482,Long Beachcity Of,114095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island Builders Institute,,long island builders institute,117159,"Long Island Builders Institute, Inc.",119464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island Children's Museum,,long island childrens museum,119412,Long Island Childrens Museum,120180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Long Island Contractors Association, Inc.",,long island contractors association,114813,"Long Island Contractors' Association, Inc.",119262,Long Island Contractor's Association,116576.0,Long Island Contractors Association,120371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Long Island Gasoline Retailers Association, Inc.",,long island gasoline retailers association,116873,Long Island Gasoline Retailers Association,117572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Long Point Development, LLC",,long point development,3064,Long Point Development LLC,112787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Long Term Care Group, Inc.",,long term care group,3033,Long Term Care Group Inc,112806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Looks Great Services, Inc.",,looks great services,120468,Looks Great Services Inc.,123343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lorillard Inc.,,lorillard,120228,"Lorillard, Inc.",121813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lorillard Tobacco Company,,lorillard tobacco company,818,Lorillard Tobacco Company,114028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Alamitos Quarter Horse Racing Association,,los alamitos quarter horse racing association,1319,Los Alamitos Quarter Horse Racing Association,111719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Los Alamitos, City Of",,city of los alamitos,5593,City of Los Alamitos,94197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Airport Peace Officers Association,,los angeles airport peace officers association,3640,Los Angeles Airport Peace Officers Association,111914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Alliance for a New Economy,,los angeles alliance for a new economy,7449,The Los Angeles Alliance for a New Economy,97958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Area Chamber Of Commerce,,los angeles area chamber of commerce,3288,Los Angeles Area Chamber Of Commerce,109017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Los Angeles Capital Management And Equity Research, Inc.",,los angeles capital management and equity research,4416,Los Angeles Capital Management And Equity Research Inc,107916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Casinos Political Action Committee,,los angeles casinos political action committee,1318,Los Angeles Casinos Political Action Committee,113846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles City Attorney Michael N. Feuer,,los angeles city attorney michael n. feuer,103620,Los Angeles City Attorney Michael N. Feuer,107335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
