293280	`201720180AB194`	`A`	`ABPCA`	`CX18`	`Assembly Public Safety`	`Patterson`	2017-02-27 15:35:00	2017-02-21 00:00:00	NULL	BILL_ANALYSIS_TBL_50.lob	`Y`	`Y`	`potterel`	2017-02-27 15:35:00
293720	`201720180AB195`	`A`	`ABPCA`	`CX04`	`Assembly Elections and Redistricting`	`Obernolte`	2017-03-21 12:10:35	2017-03-14 00:00:00	NULL	BILL_ANALYSIS_TBL_51.lob	`Y`	`Y`	`barberlb`	2017-03-21 12:10:35
293568	`201720180AB196`	`A`	`ABPCA`	`CX24`	`Assembly Water, Parks and Wildlife`	`Bigelow`	2017-03-17 15:23:02	2017-03-06 00:00:00	NULL	BILL_ANALYSIS_TBL_52.lob	`Y`	`Y`	`shinch`	2017-03-17 15:23:02
293641	`201720180AB197`	`A`	`ABPCA`	`CX18`	`Assembly Public Safety`	`Kiley`	2017-03-20 09:13:27	2017-01-19 00:00:00	NULL	BILL_ANALYSIS_TBL_53.lob	`Y`	`Y`	`potterel`	2017-03-20 09:13:27
293662	`201720180AB197`	`A`	`ABPCA`	`CX18`	`Assembly Public Safety`	`Kiley`	2017-03-20 10:09:00	2017-01-19 00:00:00	NULL	BILL_ANALYSIS_TBL_54.lob	`Y`	`Y`	`potterel`	2017-03-20 10:09:00
293385	`201720180AB198`	`A`	`ABPCA`	`CX19`	`Assembly Revenue and Taxation`	`Patterson`	2017-03-10 15:10:04	2017-01-23 00:00:00	NULL	BILL_ANALYSIS_TBL_55.lob	`Y`	`Y`	`highlasl`	2017-03-10 15:10:04
293435	`201720180AB199`	`A`	`ABPCA`	`CX14`	`Assembly Labor and Employment`	`Chu`	2017-03-13 13:31:25	2017-01-23 00:00:00	NULL	BILL_ANALYSIS_TBL_56.lob	`Y`	`Y`	`ericksll`	2017-03-13 13:31:25
293415	`201720180AB2`	`A`	`ABPCA`	`CX18`	`Assembly Public Safety`	`Obernolte`	2017-03-13 09:21:53	2017-02-28 00:00:00	NULL	BILL_ANALYSIS_TBL_57.lob	`Y`	`Y`	`potterel`	2017-03-13 09:21:53
293569	`201720180AB200`	`A`	`ABPCA`	`CX24`	`Assembly Water, Parks and Wildlife`	`Eggman`	2017-03-17 15:23:11	2017-01-23 00:00:00	NULL	BILL_ANALYSIS_TBL_58.lob	`Y`	`Y`	`shinch`	2017-03-17 15:23:11
293422	`201720180AB204`	`A`	`ABPCA`	`CX09`	`Assembly Higher Education`	`Medina`	2017-03-13 10:53:09	2017-01-23 00:00:00	NULL	BILL_ANALYSIS_TBL_59.lob	`Y`	`Y`	`teelke`	2017-03-13 10:53:09
293400	`201720180AB208`	`A`	`ABPCA`	`CX18`	`Assembly Public Safety`	`Eggman`	2017-03-13 09:19:41	2017-03-08 00:00:00	NULL	BILL_ANALYSIS_TBL_60.lob	`Y`	`Y`	`potterel`	2017-03-13 09:19:41
