first,middle,last,pid,state,num_hearings,num_bills,num_utterances,uid,url
Denise,,Lee,18967,CA,1,1,3,5879854,https://demo.digitaldemocracy.org/hearing/1107?startTime=229&vid=nQ3gjVyJ_HQ
Wendy,,Maheti Guhru,18968,CA,1,1,2,5879868,https://demo.digitaldemocracy.org/hearing/1107?startTime=335&vid=nQ3gjVyJ_HQ
Susie,,Coster,18969,CA,1,1,1,5879888,https://demo.digitaldemocracy.org/hearing/1107?startTime=429&vid=nQ3gjVyJ_HQ
Cathleen,,Sulkee,18976,CA,1,1,6,5878162,https://demo.digitaldemocracy.org/hearing/1107?startTime=470&vid=BMO7g2VqAb0
Capricia,,Highland,18977,CA,1,1,16,5880078,https://demo.digitaldemocracy.org/hearing/1107?startTime=1375&vid=nQ3gjVyJ_HQ
Gustavo,,Herrera,18978,CA,1,1,1,5878220,https://demo.digitaldemocracy.org/hearing/1107?startTime=820&vid=BMO7g2VqAb0
Kimberly,,Ray,18979,CA,1,1,18,5840720,https://demo.digitaldemocracy.org/hearing/1103?startTime=1326&vid=p5gGEyaM1h0
Victor,,Wursten,18980,CA,1,1,23,5884523,https://demo.digitaldemocracy.org/hearing/1108?startTime=693&vid=msK5wS45bWg
J.,,Clark Kelso,18983,CA,1,1,54,5883208,https://demo.digitaldemocracy.org/hearing/1108?startTime=50&vid=8erQmXUFLb0
Cathy,,Burke,18990,CA,1,1,1,5854497,https://demo.digitaldemocracy.org/hearing/1103?startTime=37&vid=ko6mijdcoK0
Sherry,,Schroeder,18994,CA,1,1,11,5915070,https://demo.digitaldemocracy.org/hearing/1112?startTime=1225&vid=UH9OWz9oQIk
Doug,,Johnson,18996,CA,1,1,7,5915144,https://demo.digitaldemocracy.org/hearing/1112?startTime=1654&vid=UH9OWz9oQIk
Meghan,,McCaman,18998,CA,1,1,3,5969441,https://demo.digitaldemocracy.org/hearing/1115?startTime=1775&vid=JDMneKJxcjU
Richard,,Miller,19000,CA,1,1,1,5971468,https://demo.digitaldemocracy.org/hearing/1115?startTime=495&vid=ppx0Y_-p-9c
Rhonda,,Perez,19001,CA,1,1,1,5971470,https://demo.digitaldemocracy.org/hearing/1115?startTime=499&vid=ppx0Y_-p-9c
Gerald,,Doe,19002,CA,1,1,1,5971474,https://demo.digitaldemocracy.org/hearing/1115?startTime=507&vid=ppx0Y_-p-9c
Michael,,Muskinee,19003,CA,1,1,1,5971484,https://demo.digitaldemocracy.org/hearing/1115?startTime=529&vid=ppx0Y_-p-9c
Francis,,Feasel,19005,CA,1,1,9,5822738,https://demo.digitaldemocracy.org/hearing/1102?startTime=1485&vid=Z3lbMAdw2h0
Jeanette,,Barrett,19006,CA,1,1,2,5755275,https://demo.digitaldemocracy.org/hearing/1094?startTime=1863&vid=cZJhCf4t1IQ
Linda,,Leighton,19007,CA,1,1,1,5755283,https://demo.digitaldemocracy.org/hearing/1094?startTime=1883&vid=cZJhCf4t1IQ
Stuart,,Leighton,19008,CA,1,1,1,5973229,https://demo.digitaldemocracy.org/hearing/1094?startTime=1894&vid=cZJhCf4t1IQ
Don,,Kearney,19009,CA,1,1,1,5755289,https://demo.digitaldemocracy.org/hearing/1094?startTime=1901&vid=cZJhCf4t1IQ
Daniel,,Mendoza,19010,CA,1,1,1,5971490,https://demo.digitaldemocracy.org/hearing/1115?startTime=546&vid=ppx0Y_-p-9c
Tyler,,Smith,19011,CA,1,1,5,5879934,https://demo.digitaldemocracy.org/hearing/1107?startTime=606&vid=nQ3gjVyJ_HQ
Randy,,Doe,19015,CA,1,1,1,5971502,https://demo.digitaldemocracy.org/hearing/1115?startTime=576&vid=ppx0Y_-p-9c
Christy,,Eckert,19018,CA,1,1,1,5971534,https://demo.digitaldemocracy.org/hearing/1115?startTime=767&vid=ppx0Y_-p-9c
Barney,,Gomez,19022,CA,1,1,1,5983747,https://demo.digitaldemocracy.org/hearing/1117?startTime=0&vid=gENmcLbKX3M
Cerese,,Christ,19024,CA,1,1,22,5917895,https://demo.digitaldemocracy.org/hearing/1112?startTime=3&vid=dvj1uX2y74U
Guillermo,,Perez,19026,CA,1,1,6,5980163,https://demo.digitaldemocracy.org/hearing/1117?startTime=398&vid=_I8sWb8ijSM
Gail,,Johnson Vaughan,19027,CA,1,1,8,5918057,https://demo.digitaldemocracy.org/hearing/1112?startTime=1150&vid=dvj1uX2y74U
Trisha,,Ortiz,19028,CA,1,1,2,5918105,https://demo.digitaldemocracy.org/hearing/1112?startTime=1493&vid=dvj1uX2y74U
Itea,,Orr,19029,CA,1,1,2,5918125,https://demo.digitaldemocracy.org/hearing/1112?startTime=1570&vid=dvj1uX2y74U
Natalie,,Bessy,19030,CA,1,1,6,5918131,https://demo.digitaldemocracy.org/hearing/1112?startTime=1612&vid=dvj1uX2y74U
Denita,,Harmon,19031,CA,1,1,4,5918149,https://demo.digitaldemocracy.org/hearing/1112?startTime=1746&vid=dvj1uX2y74U
Karen,,Solomon,19032,CA,1,1,4,5918165,https://demo.digitaldemocracy.org/hearing/1112?startTime=1841&vid=dvj1uX2y74U
Susan,,Shaw,19034,CA,1,1,2,5931994,https://demo.digitaldemocracy.org/hearing/1113?startTime=888&vid=7eeOVl_n7nw
Jesse,,Randel,19036,CA,1,1,3,5932020,https://demo.digitaldemocracy.org/hearing/1113?startTime=1043&vid=7eeOVl_n7nw
Robert,,Fuentes,19037,CA,1,1,1,5932036,https://demo.digitaldemocracy.org/hearing/1113?startTime=1117&vid=7eeOVl_n7nw
Dominga,,Duran,19038,CA,1,1,2,5932042,https://demo.digitaldemocracy.org/hearing/1113?startTime=1137&vid=7eeOVl_n7nw
Blanca,,Lozano,19039,CA,1,1,1,5995673,https://demo.digitaldemocracy.org/hearing/1113?startTime=1179&vid=7eeOVl_n7nw
Erin,,Corera,19047,CA,1,1,2,6001587,https://demo.digitaldemocracy.org/hearing/1120?startTime=713&vid=iG8tx5Up2yQ
Jane,,Preston,19048,CA,1,1,2,6001617,https://demo.digitaldemocracy.org/hearing/1120?startTime=785&vid=iG8tx5Up2yQ
Pat,,Marino Wyatt,19057,CA,1,1,3,6003157,https://demo.digitaldemocracy.org/hearing/1121?startTime=418&vid=wwLUl72A2Iw
Mia,,Yamauchi,19059,CA,1,1,1,6003469,https://demo.digitaldemocracy.org/hearing/1121?startTime=1035&vid=wwLUl72A2Iw
