"ABSENTEEISM: Surface all instances in which a legislator has registered no votes (so abstained/not voting/no vote recorded) on all bills heard in a committee or floor session, and has registered no utterances. The goal here is to get at absenteeism."


first,last,total absent,bid,hid,date
Isadore,Hall,113
,,,CA_201520160AB514,747,2015-05-22
,,,CA_201520160AB1100,745,2015-05-26
,,,CA_201520160AB1017,745,2015-05-26
,,,CA_201520160AB744,528,2015-06-04
,,,CA_201520160AB1330,528,2015-06-04
,,,CA_201520160AB787,528,2015-06-04
,,,CA_201520160AB292,528,2015-06-04
,,,CA_201520160AB761,528,2015-06-04
,,,CA_201520160AB575,528,2015-06-04
,,,CA_201520160AB67,528,2015-06-04
,,,CA_201520160AJR18,792,2015-07-02
,,,CA_201520160SJR1,792,2015-07-02
,,,CA_201520160AJR20,974,2016-04-11
,,,CA_201520160AB2083,1065,2016-04-28
,,,CA_201520160ACR137,1065,2016-04-28
,,,CA_201520160AB2748,1106,2016-05-05
,,,CA_201520160SB1408,1237,2016-05-27
,,,CA_201520160SB826,1237,2016-05-27
,,,CA_201520160AB2007,1237,2016-05-27
,,,CA_201520160AJR29,1237,2016-05-27
,,,CA_201520160AB2082,1237,2016-05-27
,,,CA_201520160AB2590,1237,2016-05-27
,,,CA_201520160AB2220,1237,2016-05-27
,,,CA_201520160AB2826,1237,2016-05-27
,,,CA_201520160AB1886,1237,2016-05-27
,,,CA_201520160AB2501,1237,2016-05-27
,,,CA_201520160AB1924,1237,2016-05-27
,,,CA_201520160AB1749,1237,2016-05-27
,,,CA_201520160AB2770,1237,2016-05-27
,,,CA_201520160AB1979,1237,2016-05-27
,,,CA_201520160AB2078,1237,2016-05-27
,,,CA_201520160AB2263,1237,2016-05-27
,,,CA_201520160AB2737,1237,2016-05-27
,,,CA_201520160SB308,1247,2016-06-06
Matthew,Harper,79
,,,CA_201520160AB581,681,2016-01-12
,,,CA_201520160AB1842,922,2016-03-29
,,,CA_201520160AB2373,922,2016-03-29
,,,CA_201520160AB2555,922,2016-03-29
,,,CA_201520160SB853,1528,2016-08-10
,,,CA_201520160AB60,628,2015-04-13
,,,CA_201520160AB273,632,2015-04-20
,,,CA_201520160AB520,635,2015-04-27
,,,CA_201520160AB655,635,2015-04-27
,,,CA_201520160AB637,629,2015-04-16
,,,CA_201520160AJR13,802,2015-08-17
,,,CA_201520160AB1528,637,2015-04-30
,,,CA_201520160AB651,643,2015-05-07
,,,CA_201520160AB83,643,2015-05-07
,,,CA_201520160AB941,645,2015-05-11
,,,CA_201520160AB969,660,2015-05-18
,,,CA_201520160AB21,660,2015-05-18
,,,CA_201520160AB775,745,2015-05-26
,,,CA_201520160AB56,745,2015-05-26
,,,CA_201520160AB1050,745,2015-05-26
,,,CA_201520160AB1390,745,2015-05-26
,,,CA_201520160AB1100,745,2015-05-26
,,,CA_201520160AB359,745,2015-05-26
,,,CA_201520160AB1017,745,2015-05-26
,,,CA_201520160AB1217,745,2015-05-26
,,,CA_201520160AB1103,745,2015-05-26
,,,CA_201520160AB882,745,2015-05-26
,,,CA_201520160AB517,745,2015-05-26
,,,CA_201520160AB884,745,2015-05-26
,,,CA_201520160AB1029,745,2015-05-26
,,,CA_201520160AB1435,745,2015-05-26
,,,CA_201520160AB1108,745,2015-05-26
,,,CA_201520160AJR14,744,2015-05-28
,,,CA_201520160HR5,785,2015-07-09
,,,CA_201520160AB304,772,2015-06-22
,,,CA_201520160AJR23,772,2015-06-22
,,,CA_201520160SJR5,773,2015-06-25
,,,CA_201520160AJR26,802,2015-08-17
,,,CA_201520160SB186,802,2015-08-17
,,,CA_201520160SB411,785,2015-07-09
,,,CA_201520160SB212,785,2015-07-09
,,,CA_201520160ACR92,786,2015-07-13
,,,CA_201520160SB295,884,2015-09-01
,,,CA_201520160SB249,884,2015-09-01
,,,CA_201520160SB708,884,2015-09-01
,,,CA_201520160SB579,884,2015-09-01
,,,CA_201520160SB731,892,2015-09-02
,,,CA_201520160SB549,892,2015-09-02
,,,CA_201520160SB197,892,2015-09-02
,,,CA_201520160SB29,892,2015-09-02
,,,CA_201520160SB19,892,2015-09-02
,,,CA_201520161SB4,562,2015-09-09
,,,CA_201520162SB2,562,2015-09-09
,,,CA_201520160SB86,843,2016-02-29
,,,CA_201520160AJR20,974,2016-04-11
,,,CA_201520160ACR155,974,2016-04-11
,,,CA_201520160SB3,937,2016-03-31
,,,CA_201520160AB1705,937,2016-03-31
,,,CA_201520160AB2291,990,2016-04-14
,,,CA_201520160AB1808,1022,2016-04-21
,,,CA_201520160AB2555,1036,2016-04-25
,,,CA_201520160SB95,1036,2016-04-25
,,,CA_201520160AB2176,1139,2016-05-12
,,,CA_201520160AB2813,1139,2016-05-12
,,,CA_201520160AB2316,1139,2016-05-12
,,,CA_201520160AB2471,1139,2016-05-12
,,,CA_201520160AB2089,1106,2016-05-05
,,,CA_201520160AB1757,1170,2016-05-19
,,,CA_201520160AB1761,1170,2016-05-19
,,,CA_201520160AB2815,1194,2016-05-23
,,,CA_201520160AB1693,1194,2016-05-23
,,,CA_201520160AB2551,1194,2016-05-23
,,,CA_201520160SB842,1387,2016-06-27
,,,CA_201520160AJR37,1387,2016-06-27
,,,CA_201520160SB775,1387,2016-06-27
,,,CA_201520160SJR15,1387,2016-06-27
,,,CA_201520160SB1255,1387,2016-06-27
,,,CA_201520160SB1005,1334,2016-06-16
